date; S; urban, rural, UHI; C; urban, rural, UHI; T; urban, rural, UHI;

---tasmin---
2001-06-14;S; 17.549999999999997,14.687442345924467,2.8625576540755304;C; 13.786764539459227,14.006529343664567,-0.21976480420534017;T; 17.384461669970563,14.455642368799147,2.9288193011714156;
2001-06-15;S; 21.9,18.187442345924467,3.712557654075532;C; 19.182776161933077,20.277728616976844,-1.0949524550437673;T; 21.98319054930454,20.434511945671602,1.5486786036329363;
2001-06-16;S; 21.299999999999997,20.84458520306731,0.45541479693268627;C; 18.710933583271697,17.847800630460938,0.8631329528107585;T; 21.991279789099337,18.101313184511753,3.8899666045875847;
2001-06-19;S; 17.450000000000003,16.073156631638767,1.3768433683612358;C; 17.995609100388663,18.008815833565734,-0.013206733177071328;T; 20.856606497803398,18.26645870570735,2.5901477920960474;
2001-06-20;S; 18.05,16.78744234592449,1.2625576540755112;C; 16.82640505798895,15.498976801678452,1.3274282563104975;T; 20.156815132146164,15.93575756680201,4.221057565344154;
2001-06-26;S; 19.7,17.073156631638767,2.6268433683612322;C; 17.194140408753526,18.579422928815745,-1.3852825200622192;T; 20.232654900018986,18.83460323943126,1.3980516605877256;
2001-06-27;S; 19.9,18.773156631638756,1.1268433683612429;C; 15.94093440501689,16.185333938491624,-0.2443995334747342;T; 20.15433062326531,16.607128998684004,3.547201624581305;
2001-06-28;S; 16.6,16.216013774495877,0.383986225504124;C; 24.83385676759633,25.88407039787512,-1.0502136302787903;T; 27.23366184352676,26.19505736870633,1.0386044748204313;
2001-07-22;S; 22.35,19.87315663163872,2.47684336836128;C; 18.171912628282314,18.26386627793414,-0.09195364965182762;T; 20.569579451052448,18.362023794675736,2.2075556563767122;
2001-07-23;S; 22.3,20.244585203067288,2.0554147969327126;C; 19.100675637473728,19.207327171678003,-0.10665153420427487;T; 22.56902750654632,19.40788753948749,3.16113996705883;
2001-07-24;S; 25.200000000000003,24.3160137744959,0.8839862255041027;C; 21.37993960215823,21.908501005657456,-0.528561403499225;T; 23.643611077279672,21.991962229754222,1.6516488475254505;
2001-08-02;S; 20.65,14.9302994887816,5.719700511218399;C; 17.645122808613962,15.73601343843876,1.9091093701752015;T; 20.1505645619024,15.99458070382724,4.15598385807516;
2001-08-03;S; 21.75,19.90172806021019,1.8482719397898109;C; 20.371099553077897,20.707290695959784,-0.3361911428818871;T; 22.95655602751816,20.855956252139947,2.100599775378214;
2001-08-05;S; 17.200000000000003,12.373156631638722,4.826843368361281;C; 18.466821059939264,17.810897878466108,0.6559231814731561;T; 20.230170788387056,17.92542697447243,2.3047438139146266;
2001-08-06;S; 21.5,19.473156631638744,2.0268433683612557;C; 16.834771142875354,15.496819642861965,1.3379515000133892;T; 19.60869389011333,15.9294163088814,3.679277581231929;
2001-08-07;S; 23.450000000000003,22.501728060210155,0.9482719397898478;C; 20.474556837658326,19.091589194481458,1.382967643176869;T; 22.584502319563114,19.374815599623673,3.209686719939441;
2001-08-08;S; 19.15,14.90172806021019,4.248271939789809;C; 23.678008359767148,21.913454906057268,1.7645534537098797;T; 24.53518326710457,21.984603980925726,2.550579286178845;
2001-08-09;S; 22.0,21.40172806021019,0.5982719397898109;C; 18.21227860003995,17.219336328948657,0.9929422710912945;T; 21.107293214294714,17.355162569304753,3.752130644989961;
2001-08-10;S; 21.5,21.558870917353033,-0.05887091735303329;C; 23.419139408860985,21.242443193480597,2.176696215380389;T; 25.3228439135479,21.652225837275182,3.670618076272717;
