date; S; urban, rural, UHI; C; urban, rural, UHI; T; urban, rural, UHI;

---tasmin---
2001-06-14;S; 20.04,17.318870917353035,2.7211290826469643;C; 16.93000299721126,17.283263310348755,-0.3532603131374934;T; 20.14531684552991,17.576324362690652,2.5689924828392563;
2001-06-15;S; 21.060000000000002,19.27887091735303,1.7811290826469737;C; 19.002976160974086,19.112545703161175,-0.10956954218708859;T; 22.053546825647416,19.31442755603646,2.7391192696109563;
2001-06-16;S; 19.099999999999998,17.950299488781592,1.1497005112184056;C; 19.581341782900736,19.1513421532972,0.429999629603536;T; 22.20359036499434,19.336778089873828,2.8668122751205125;
2001-06-19;S; 17.070000000000004,15.25601377449591,1.8139862255040935;C; 18.426305513410195,17.70913925372438,0.7171662596858148;T; 20.93793980517504,18.004190644208506,2.933749160966535;
2001-06-20;S; 15.9,13.821728060210184,2.0782719397898166;C; 18.91157291808686,17.601853590078488,1.3097193280083737;T; 20.67545423753902,17.859024657400223,2.8164295801387986;
2001-06-26;S; 19.16,17.581728060210185,1.5782719397898148;C; 18.220801279027434,19.082716826497972,-0.861915547470538;T; 21.60152657801907,19.41570436898737,2.1858222090316985;
2001-06-27;S; 17.410000000000004,16.138870917353028,1.2711290826469757;C; 19.69880842428104,20.0784636482668,-0.3796552239857611;T; 22.766022343237626,20.44354486953263,2.3224774737049962;
2001-06-28;S; 16.200000000000003,14.644585203067312,1.5554147969326912;C; 19.361117384878913,19.42075791763959,-0.059640532760678155;T; 21.760348316559043,19.72607777130545,2.034270545253591;
2001-07-22;S; 22.9,20.910299488781586,1.9897005112184125;C; 19.185023226734064,19.37017758097635,-0.185154354242286;T; 21.98416499849544,19.506356979616136,2.477808018879305;
2001-07-23;S; 22.78,21.336013774495882,1.4439862255041191;C; 21.4797999736723,21.807338747685264,-0.3275387740129645;T; 24.123037967968937,21.94731981486955,2.1757181530993854;
2001-07-24;S; 20.27,18.66458520306733,1.6054147969326706;C; 23.13322836491559,23.367248467553782,-0.23402010263819406;T; 25.206141760253004,23.507775538613455,1.6983662216395494;
2001-08-02;S; 20.650000000000002,16.907442345924462,3.74255765407554;C; 19.965183374240645,19.22795164173367,0.7372317325069737;T; 22.425994004690416,19.4747856003718,2.951208404318617;
2001-08-03;S; 19.520000000000003,16.38458520306731,3.135414796932693;C; 21.35919289234681,21.14635583002564,0.21283706232117083;T; 23.59494810652906,21.39660953172031,2.1983385748087514;
2001-08-05;S; 20.17,17.23887091735302,2.931129082646983;C; 18.215548248657512,17.14140484742752,1.0741434012299926;T; 20.45244633531278,17.416900433266267,3.035545902046511;
2001-08-06;S; 21.810000000000002,19.770299488781596,2.039700511218406;C; 19.659332864166903,18.218054516148822,1.4412783480180806;T; 21.78431513729149,18.518613559587177,3.265701577704313;
2001-08-07;S; 21.439999999999998,19.24172806021018,2.1982719397898194;C; 21.30348179897818,19.84588490600522,1.4575968929729584;T; 23.069332877526016,20.014800346080712,3.054532531445304;
2001-08-08;S; 20.76,18.833156631638758,1.9268433683612436;C; 21.439942665695035,19.90160513269849,1.5383375329965467;T; 23.321559375269295,20.066351787547227,3.2552075877220688;
2001-08-09;S; 20.54,19.096013774495894,1.443986225504105;C; 21.129543752112763,20.09823273707274,1.0313110150400249;T; 23.13475306405155,20.34492844213713,2.78982462191442;
2001-08-10;S; 18.27,15.076013774495891,3.1939862255041085;C; 20.963260187220772,20.37227362603418,0.5909865611865932;T; 22.431799742186275,20.6581719278043,1.7736278143819746;
